#,ECS on EC2,ECS on Fargate,EKS on EC2,EKS on Fargate,"DIY Kubernetes (kops, etc.)",HashiCorp Nomad,Docker EE,Other,Native ECR scanning,DIY Clair,Aqua Security,StackRox,Sysdig Secure,Twistlock,"Nope, not scanning images (yet)",Other,CNCF Falco,NeuVector,"Nope, not scanning containers (yet)",Other,AWS Secrets Manager,AWS Parameter Store,HashiCorp Vault,DIY encryption,"Nope, not encrypting sensitive data (yet)",Other,CNCF Notary,CNCF TUF-based,"Nope, not signing my images (yet)",Other,CNCF in-toto,Grafeas,"Nope, not managing my supply chain (yet)",Other,Are you using Kubernetes?,Weave Net,Calico,Cilium,DIY eBPF,Via a service mesh,Other,Kubernetes: pod security policies,IAM users/roles,Active Directory/LDAP,"SSO (OpenID Connect/dex, etc.)",Other,Kubernetes: pod-level IAM roles,Other,Any other security-related feature of AWS you're using? Any container security tool?,My role in the team/organization is …,Other,Start Date (UTC),Submit Date (UTC)
vmrf7lyhtsfjbqvmrf7qnjha0waiu1ed,,,,,,HashiCorp Nomad,,,,,,,,,"Nope, not scanning images (yet)",,,,"Nope, not scanning containers (yet)",,,AWS Parameter Store,HashiCorp Vault,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,,Mirror images and pull from private ECR,0,,,,,,,,,,,,,,,Mainly operations,,2019-12-18 01:58:00,2019-12-18 01:59:56
awd4lab2eqsvnexdcawd4loqq8ijunpk,,,EKS on EC2,,,,,,,,,,,,"Nope, not scanning images (yet)",,CNCF Falco,,,,,AWS Parameter Store,,,"Nope, not encrypting sensitive data (yet)",,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,1,,,,,,,0,IAM users/roles,,,,"None, I'm assigning the IAM role to the nodes",,,,,2019-12-12 18:21:55,2019-12-12 18:24:15
wk4rsuw9v7xleste1p9bohwk4rsaf7sp,,,EKS on EC2,EKS on Fargate,,,,,Native ECR scanning,DIY Clair,,,,,,,,,"Nope, not scanning containers (yet)",,,,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,,Nexus,1,,Calico,,,,,1,IAM users/roles,,,,IAM roles for service accounts (IRSA),,Only Jenkins or Sysadmins can push to k8 using terraform,Mainly operations,,2019-12-12 16:31:08,2019-12-12 16:35:53
cm9u3kgdj4ak481r8xk4cm9u3kglhucc,,,,,"DIY Kubernetes (kops, etc.)",,Docker EE,CloudFoundry,,,,,Sysdig Secure,Twistlock,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,HashiCorp Vault,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,1,,Calico,,DIY eBPF,,,1,IAM users/roles,Active Directory/LDAP,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,Piloting git actions and looking to expand appsec controls,InfoSec,,2019-12-11 15:05:41,2019-12-11 15:10:08
sxptgho0tbzwt9y7fnsxp50d9gcpexn4,ECS on EC2,,,,"DIY Kubernetes (kops, etc.)",,,,,DIY Clair,,,,,,,CNCF Falco,,,,,,,,,credstash,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,1,,Calico,,,Via a service mesh,,1,,,"SSO (OpenID Connect/dex, etc.)",,kube2iam,,GitOps w/ Drone + DIY CD pipeline/Spinnaker + Helm. In the future potentially moving from Docker runtime to only CRI-O/containerd and/or gvisor,InfoSec,,2019-12-11 14:51:25,2019-12-11 14:57:15
vgzfewmb3uc5mhqw7ln6fvgzfehqgh2l,,,EKS on EC2,EKS on Fargate,"DIY Kubernetes (kops, etc.)",,,,,,,,Sysdig Secure,,"Nope, not scanning images (yet)",,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,1,,Calico,,,Via a service mesh,,0,IAM users/roles,Active Directory/LDAP,,,IAM roles for service accounts (IRSA),,Argocd,Mainly development,,2019-12-11 10:25:17,2019-12-11 10:27:04
6tuxynykkehtf1u3oqhg6tuxynywy9u3,,,EKS on EC2,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,"Nope, not signing my images (yet)",,,,,Artifactory,1,,,,,,Not yet,0,IAM users/roles,,,,"None, I'm assigning the IAM role to the nodes",,None,Mainly operations,,2019-12-11 07:43:13,2019-12-11 07:45:46
v453fsbbjdwkquav453f8v4wn3q3r351,ECS on EC2,,,,,,Docker EE,,,,,,,,"Nope, not scanning images (yet)",,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,0,,,,,,,,,,,,,,,Testing/QA,,2019-12-10 22:05:21,2019-12-10 22:06:35
xsx7sdyo480p67cuj097xsx7sdyorynt,,,EKS on EC2,,,,,Mesos,,,,,,,,Snyk,CNCF Falco,,,,,,,,"Nope, not encrypting sensitive data (yet)",,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,1,,Calico,,,Via a service mesh,,1,IAM users/roles,,,,kiam,,"Flux for cluster state management, OPA + Gatekeeper for Policy Management, Trivy",Architect,,2019-12-10 21:12:43,2019-12-10 21:18:05
a9e77suk2ra8qla9e7caextz6fnf6aie,,,EKS on EC2,,"DIY Kubernetes (kops, etc.)",,,,,,,,,,,quay.io,,,"Nope, not scanning containers (yet)",,,,,,"Nope, not encrypting sensitive data (yet)",,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,1,,,,,,,0,IAM users/roles,,,,,Access Keys in K8s Secrets/Env,,,Infrastructure,2019-12-10 21:13:22,2019-12-10 21:17:20
qu0syjfx51kd9xktdqu0syj8cui1uw2x,,ECS on Fargate,EKS on EC2,,,,,,,,Aqua Security,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,1,,,,,Via a service mesh,Aqua,1,IAM users/roles,,,,kube2iam,,,InfoSec,,2019-12-10 18:04:30,2019-12-10 19:22:37
nlea0i7uvn8jllgrcnlea0icey7c7new,,,,,"DIY Kubernetes (kops, etc.)",,,,,,,,,,"Nope, not scanning images (yet)",,,,"Nope, not scanning containers (yet)",,,,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,1,,,,,,,0,,,,,"None, I'm assigning the IAM role to the nodes",,,SRE,,2019-12-10 19:17:58,2019-12-10 19:20:01
mlp64rdcabgwzztlk4w2mlp64eyjwaje,,,EKS on EC2,,,,,,Native ECR scanning,,,,,,,,,,"Nope, not scanning containers (yet)",,,AWS Parameter Store,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,1,,Calico,,,,,1,IAM users/roles,,,,IAM roles for service accounts (IRSA),,,SRE,,2019-12-10 19:00:54,2019-12-10 19:02:56
58h6t3d8qc65s8k8u58h6tnswp0k3lwh,,,EKS on EC2,,"DIY Kubernetes (kops, etc.)",,,,Native ECR scanning,,,,,,,Snyk.io,,,"Nope, not scanning containers (yet)",,,,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,1,,Calico,,,,,1,IAM users/roles,,,,IAM roles for service accounts (IRSA),,"Flux, Flagger, Helm-Operator",SRE,,2019-12-10 15:36:24,2019-12-10 18:51:58
0mzls69oyx7drd3bye4e0mzlu3jz5flg,ECS on EC2,,,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,"Nope, not scanning containers (yet)",,,,,,"Nope, not encrypting sensitive data (yet)",Locked down encrypted S3 buckets for now with plans to move to AWS Secrets Manager or Parameter Store.,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,0,,,,,,,,,,,,,,"SecurityGroups to lock down point-to-point communication, only open up ports on an as-needed basis, communication with containers is only through an ALB.",Architect,,2019-12-10 18:31:41,2019-12-10 18:35:02
